country,n_participants,n_placements,mean_x,mean_y,median_x,median_y,sd_x,sd_y
Vietnam,11,209,4.401913875598086,4.3875598086124405,5.0,4.0,1.4078065905489576,1.9557701309969848
India,2,38,4.157894736842105,5.105263157894737,4.0,6.0,1.7167901505579042,1.8857857160117855
France,1,2,6.0,4.0,6.0,4.0,0.0,2.8284271247461903
Singapore,1,19,4.315789473684211,5.684210526315789,4.0,7.0,1.9451544234312483,1.7654911680117478
Thailand,1,10,6.0,6.0,6.0,6.0,1.0540925533894598,0.816496580927726
