theme,n_statements,n_participants,n_placements,mean_x,mean_y,sd_x,sd_y
Handle emotions and risk,4,15,59,4.915254237288136,4.203389830508475,1.3427729362728862,1.7595028786264597
Make the goal concrete,7,16,107,4.97196261682243,4.803738317757009,1.2548618199899777,2.0208313828833417
Coordinate across teams and unblock,2,14,28,3.1785714285714284,6.035714285714286,1.3348205990866457,1.7946864547601262
Show how work will change,6,14,84,3.8214285714285716,4.238095238095238,1.5222107756282959,1.827626333503873
