role_level,n_participants,n_placements,mean_x,mean_y,median_x,median_y,sd_x,sd_y
Middle manager,12,219,4.442922374429224,4.648401826484018,5.0,5.0,1.5023475966919504,1.993023313847064
Senior manager,2,38,4.447368421052632,4.394736842105263,5.0,4.0,1.3890959226126398,1.8532582510520386
Staff,2,21,4.285714285714286,4.857142857142857,4.0,5.0,1.8477785890862883,1.7687768170607134
