theme,n_statements,n_participants,n_placements,mean_x,mean_y,sd_x,sd_y
Other,17,12,17,4.823529411764706,5.882352941176471,1.5904124511289146,1.1114378604524227
Training & Skills,9,8,9,5.555555555555555,5.666666666666667,1.0137937550497034,0.7071067811865476
Communication,16,10,16,6.0,5.0625,0.7302967433402214,1.1814539065631522
Technology & Tools,20,10,20,5.2,6.15,1.5423836644690752,0.7451598203705946
Process & Governance,7,6,7,5.0,5.857142857142857,1.1547005383792515,0.6900655593423543
Data & Metrics,2,1,2,5.5,5.5,0.7071067811865476,0.7071067811865476
