theme,n_statements,n_participants,n_placements,mean_x,mean_y,sd_x,sd_y
Other / Placeholder,4,3,4,4.5,5.75,1.7320508075688772,0.9574271077563381
Training & Skills,9,8,9,5.555555555555555,5.666666666666667,1.0137937550497034,0.7071067811865476
Process & Compliance,7,7,7,4.714285714285714,6.0,1.7994708216848747,0.816496580927726
"Goals, KPIs & Strategy",12,8,12,5.083333333333333,6.0,0.7929614610987591,0.9534625892455924
Technology & Infrastructure,7,5,7,5.857142857142857,6.0,0.8997354108424374,0.816496580927726
Communication & Change,25,12,25,5.88,5.36,0.8812869377601523,1.2206555615733703
People & Resourcing,6,5,6,3.6666666666666665,6.0,2.160246899469287,0.6324555320336759
Data & Integration,1,1,1,6.0,7.0,0.0,0.0
