statement_type,placements,participants,mean_x,mean_y,median_x,median_y,sd_x,sd_y,extremity_rate
raw,71,16,5.323943661971831,5.732394366197183,6.0,6.0,1.328529239285996,0.9993961959799704,0.30985915492957744
seed,278,16,4.431654676258993,4.629496402877698,5.0,5.0,1.5107334853356882,1.9551266769935156,0.3237410071942446
