statement_id,n_participants,mean_x,mean_y,sd_x,sd_y,top_cell_x,top_cell_y,top_cell_count,exact_agreement,radius_agreement
6907912510acab4c189c26cd,15,4.4,5.0,1.1832159566199232,1.0,5,4,3,0.2,0.7333333333333333
69079125de5cf20cb23dbb42,15,6.333333333333333,3.466666666666667,0.816496580927726,2.325838302531758,6,2,6,0.4,0.0
690791231130232c6f24a8b1,15,4.4,5.0,0.7367883976130073,0.9258200997725514,5,5,5,0.3333333333333333,0.8
69593dc0eac6a120dc6e88a1,15,5.8,3.7333333333333334,0.7745966692414834,1.8309508328682538,6,3,3,0.2,0.4666666666666667
69079122e0cd0242cebd60cf,16,5.125,3.125,1.2583057392117916,1.5438048235879214,6,2,5,0.3125,0.1875
69593db9785c2ed83c8cbea7,15,5.666666666666667,3.6,1.0465362369445672,2.02837021134844,6,2,5,0.3333333333333333,0.2
690791237f24aa1ecd5429a9,15,5.733333333333333,3.8666666666666667,0.7037315505489968,1.7674302033770737,6,3,5,0.3333333333333333,0.4666666666666667
69593db392815610917874fb,15,3.933333333333333,6.533333333333333,1.486446705914413,0.9154754164341269,3,7,4,0.26666666666666666,0.4666666666666667
69593daf0a570c24336526d8,15,4.133333333333334,6.4,0.5163977794943223,0.828078671210825,4,7,8,0.5333333333333333,0.8
69079123065e0438f4af92d0,16,4.4375,6.375,1.1528949070347507,0.7187952884282608,4,7,4,0.25,0.5625
69593dddb7e03945a9abeb07,14,4.5,3.2857142857142856,1.454436184706849,1.7288756430151329,5,2,4,0.2857142857142857,0.21428571428571427
69593dddef4549e17f3ee3a2,14,3.9285714285714284,5.571428571428571,1.439245834257849,2.2434275189912047,3,7,3,0.21428571428571427,0.07142857142857142
69593ddde0762f0fda4a8b45,14,2.4285714285714284,6.5,0.646206172658864,1.0919284281983377,2,7,7,0.5,0.8571428571428571
69593ddcadb5f834c1df5aac,14,3.142857142857143,3.5,1.7478401113789142,1.9513309067639726,2,2,6,0.42857142857142855,0.0
69593ddc97c883f04d4a839d,14,4.0,4.571428571428571,0.8770580193070292,1.0894095588038444,4,4,3,0.21428571428571427,0.6428571428571429
69593ddc5731441183ecdee5,14,2.2857142857142856,3.5714285714285716,0.825420305855557,1.8277470669267508,2,3,6,0.42857142857142855,0.5714285714285714
69593ddbdf5f0ff1ac2e78f2,14,4.428571428571429,2.5,1.869359648250035,1.0919284281983377,5,2,3,0.21428571428571427,0.35714285714285715
69079124900fedf3fc27cf51,14,4.571428571428571,5.642857142857143,1.3424596091494903,1.5984195491000024,6,6,3,0.21428571428571427,0.21428571428571427
69593ddac1fb00b7ab7169e6,14,4.5,5.642857142857143,0.6504436355879909,0.744946343668492,5,5,4,0.2857142857142857,0.7857142857142857
